creative,feature,model,train,tone
GOV/AK WALKER&MALLOT MY DAD,text,nsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,text,knn,1,1
GOV/AK WALKER&MALLOT MY DAD,text,rf,1,1
GOV/AK WALKER&MALLOT MY DAD,text,nb,1,1
GOV/AK WALKER&MALLOT MY DAD,music,lsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,music,nsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,music,knn,1,1
GOV/AK WALKER&MALLOT MY DAD,music,rf,1,1
GOV/AK WALKER&MALLOT MY DAD,music,nb,1,1
GOV/AK WALKER&MALLOT MY DAD,both,lsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,both,nsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,both,knn,1,1
GOV/AK WALKER&MALLOT MY DAD,both,rf,1,1
GOV/AK WALKER&MALLOT MY DAD,both,nb,1,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,text,lsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,text,nsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,text,knn,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,text,rf,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,text,nb,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,music,lsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,music,nsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,music,knn,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,music,rf,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,music,nb,0,0
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,both,lsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,both,nsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,both,knn,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,both,rf,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,both,nb,0,1
GOV/AL GRIFFITH BURNING,text,lsvm,1,1
GOV/AL GRIFFITH BURNING,text,nsvm,1,1
GOV/AL GRIFFITH BURNING,text,knn,1,1
GOV/AL GRIFFITH BURNING,text,rf,1,1
GOV/AL GRIFFITH BURNING,text,nb,1,1
GOV/AL GRIFFITH BURNING,music,lsvm,1,1
GOV/AL GRIFFITH BURNING,music,nsvm,1,1
GOV/AL GRIFFITH BURNING,music,knn,1,1
GOV/AL GRIFFITH BURNING,music,rf,1,1
GOV/AL GRIFFITH BURNING,music,nb,1,1
GOV/AL GRIFFITH BURNING,both,lsvm,1,1
GOV/AL GRIFFITH BURNING,both,nsvm,1,1
GOV/AL GRIFFITH BURNING,both,knn,1,1
GOV/AL GRIFFITH BURNING,both,rf,1,1
GOV/AL GRIFFITH BURNING,both,nb,1,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,text,lsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,text,nsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,text,knn,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,text,rf,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,text,nb,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,music,lsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,music,nsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,music,knn,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,music,rf,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,music,nb,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,both,lsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,both,nsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,both,knn,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,both,rf,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,both,nb,0,0
GOV/AL GRIFFITH PLAN,text,lsvm,0,1
GOV/AL GRIFFITH PLAN,text,nsvm,0,1
GOV/AL GRIFFITH PLAN,text,knn,0,1
GOV/AL GRIFFITH PLAN,text,rf,0,1
GOV/AL GRIFFITH PLAN,text,nb,0,1
GOV/AL GRIFFITH PLAN,music,lsvm,0,1
GOV/AL GRIFFITH PLAN,music,nsvm,0,1
GOV/AL GRIFFITH PLAN,music,knn,0,1
GOV/AL GRIFFITH PLAN,music,rf,0,1
GOV/AL GRIFFITH PLAN,music,nb,0,1
GOV/AL GRIFFITH PLAN,both,lsvm,0,1
GOV/AL GRIFFITH PLAN,both,nsvm,0,1
GOV/AL GRIFFITH PLAN,both,knn,0,1
GOV/AL GRIFFITH PLAN,both,rf,0,1
GOV/AL GRIFFITH PLAN,both,nb,0,1
GOV/AL GRIFFITH VIRGINIA,text,lsvm,1,1
GOV/AL GRIFFITH VIRGINIA,text,nsvm,1,1
GOV/AL GRIFFITH VIRGINIA,text,knn,1,1
GOV/AL GRIFFITH VIRGINIA,text,rf,1,1
GOV/AL GRIFFITH VIRGINIA,text,nb,1,1
GOV/AL GRIFFITH VIRGINIA,music,lsvm,1,1
GOV/AL GRIFFITH VIRGINIA,music,nsvm,1,1
GOV/AL GRIFFITH VIRGINIA,music,knn,1,1
GOV/AL GRIFFITH VIRGINIA,music,rf,1,1
GOV/AL GRIFFITH VIRGINIA,music,nb,1,1
GOV/AL GRIFFITH VIRGINIA,both,lsvm,1,1
GOV/AL GRIFFITH VIRGINIA,both,nsvm,1,1
GOV/AL GRIFFITH VIRGINIA,both,knn,1,1
GOV/AL GRIFFITH VIRGINIA,both,rf,1,1
GOV/AL GRIFFITH VIRGINIA,both,nb,1,1
GOV/AR HUTCHINSON 16 BILLION,text,lsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,text,nsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,text,knn,0,1
GOV/AR HUTCHINSON 16 BILLION,text,rf,0,1
GOV/AR HUTCHINSON 16 BILLION,text,nb,0,1
GOV/AR HUTCHINSON 16 BILLION,music,lsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,music,nsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,music,knn,0,1
GOV/AR HUTCHINSON 16 BILLION,music,rf,0,1
GOV/AR HUTCHINSON 16 BILLION,music,nb,0,1
GOV/AR HUTCHINSON 16 BILLION,both,lsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,both,nsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,both,knn,0,1
GOV/AR HUTCHINSON 16 BILLION,both,rf,0,1
GOV/AR HUTCHINSON 16 BILLION,both,nb,0,1
GOV/AR HUTCHINSON GRANDDAUGHTER,text,lsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,text,nsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,text,knn,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,text,rf,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,text,nb,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,music,lsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,music,nsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,music,knn,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,music,rf,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,music,nb,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,both,lsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,both,nsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,both,knn,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,both,rf,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,both,nb,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,text,lsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,text,nsvm,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,text,knn,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,text,rf,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,text,nb,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,music,lsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,music,nsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,music,knn,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,music,rf,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,music,nb,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,both,lsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,both,nsvm,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,both,knn,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,both,rf,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,both,nb,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,text,lsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,text,nsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,text,knn,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,text,rf,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,text,nb,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,music,lsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,music,nsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,music,knn,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,music,rf,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,music,nb,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,both,lsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,both,nsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,both,knn,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,both,rf,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,both,nb,1,1
GOV/AR HUTCHINSON MY TRUCK,text,lsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,text,nsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,text,knn,1,1
GOV/AR HUTCHINSON MY TRUCK,text,rf,1,1
GOV/AR HUTCHINSON MY TRUCK,text,nb,1,1
GOV/AR HUTCHINSON MY TRUCK,music,lsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,music,nsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,music,knn,1,1
GOV/AR HUTCHINSON MY TRUCK,music,rf,1,1
GOV/AR HUTCHINSON MY TRUCK,music,nb,1,1
GOV/AR HUTCHINSON MY TRUCK,both,lsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,both,nsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,both,knn,1,1
GOV/AR HUTCHINSON MY TRUCK,both,rf,1,1
GOV/AR HUTCHINSON MY TRUCK,both,nb,1,1
GOV/AR HUTCHINSON NEGATIVITY,text,lsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,text,nsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,text,knn,1,1
GOV/AR HUTCHINSON NEGATIVITY,text,rf,1,1
GOV/AR HUTCHINSON NEGATIVITY,text,nb,1,1
GOV/AR HUTCHINSON NEGATIVITY,music,lsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,music,nsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,music,knn,1,1
GOV/AR HUTCHINSON NEGATIVITY,music,rf,1,1
GOV/AR HUTCHINSON NEGATIVITY,music,nb,1,1
GOV/AR HUTCHINSON NEGATIVITY,both,lsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,both,nsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,both,knn,1,1
GOV/AR HUTCHINSON NEGATIVITY,both,rf,1,1
GOV/AR HUTCHINSON NEGATIVITY,both,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,text,lsvm,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,text,nsvm,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,text,knn,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,text,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,text,nb,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,music,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,music,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,music,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,music,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,music,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,both,lsvm,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,both,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,both,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,both,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,both,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,text,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,text,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,text,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,text,rf,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,text,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,music,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,music,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,music,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,music,rf,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,music,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,both,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,both,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,both,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,both,rf,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,both,nb,1,1
GOV/AZ DUCEY NEXT GOVERNOR,text,lsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,text,nsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,text,knn,1,1
GOV/AZ DUCEY NEXT GOVERNOR,text,rf,1,1
GOV/AZ DUCEY NEXT GOVERNOR,text,nb,1,1
GOV/AZ DUCEY NEXT GOVERNOR,music,lsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,music,nsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,music,knn,1,0
GOV/AZ DUCEY NEXT GOVERNOR,music,rf,1,1
GOV/AZ DUCEY NEXT GOVERNOR,music,nb,1,0
GOV/AZ DUCEY NEXT GOVERNOR,both,lsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,both,nsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,both,knn,1,1
GOV/AZ DUCEY NEXT GOVERNOR,both,rf,1,1
GOV/AZ DUCEY NEXT GOVERNOR,both,nb,1,1
GOV/AZ DUCEY SERVING ICE CREAM,text,lsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,text,nsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,text,knn,1,1
GOV/AZ DUCEY SERVING ICE CREAM,text,rf,1,1
GOV/AZ DUCEY SERVING ICE CREAM,text,nb,1,1
GOV/AZ DUCEY SERVING ICE CREAM,music,lsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,music,nsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,music,knn,1,1
GOV/AZ DUCEY SERVING ICE CREAM,music,rf,1,1
GOV/AZ DUCEY SERVING ICE CREAM,music,nb,1,1
GOV/AZ DUCEY SERVING ICE CREAM,both,lsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,both,nsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,both,knn,1,1
GOV/AZ DUCEY SERVING ICE CREAM,both,rf,1,1
GOV/AZ DUCEY SERVING ICE CREAM,both,nb,1,1
GOV/AZ DUVAL GRANT WOODS,text,lsvm,1,1
GOV/AZ DUVAL GRANT WOODS,text,nsvm,1,1
GOV/AZ DUVAL GRANT WOODS,text,knn,1,1
GOV/AZ DUVAL GRANT WOODS,text,rf,1,1
GOV/AZ DUVAL GRANT WOODS,text,nb,1,1
GOV/AZ DUVAL GRANT WOODS,music,lsvm,1,1
GOV/AZ DUVAL GRANT WOODS,music,nsvm,1,1
GOV/AZ DUVAL GRANT WOODS,music,knn,1,1
GOV/AZ DUVAL GRANT WOODS,music,rf,1,1
GOV/AZ DUVAL GRANT WOODS,music,nb,1,1
GOV/AZ DUVAL GRANT WOODS,both,lsvm,1,1
GOV/AZ DUVAL GRANT WOODS,both,nsvm,1,1
GOV/AZ DUVAL GRANT WOODS,both,knn,1,1
GOV/AZ DUVAL GRANT WOODS,both,rf,1,1
GOV/AZ DUVAL GRANT WOODS,both,nb,1,1
GOV/AZ DUVAL INDEPENDENCE,text,lsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,text,nsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,text,knn,1,1
GOV/AZ DUVAL INDEPENDENCE,text,rf,1,1
GOV/AZ DUVAL INDEPENDENCE,text,nb,1,1
GOV/AZ DUVAL INDEPENDENCE,music,lsvm,1,0
GOV/AZ DUVAL INDEPENDENCE,music,nsvm,1,0
GOV/AZ DUVAL INDEPENDENCE,music,knn,1,1
GOV/AZ DUVAL INDEPENDENCE,music,rf,1,1
GOV/AZ DUVAL INDEPENDENCE,music,nb,1,0
GOV/AZ DUVAL INDEPENDENCE,both,lsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,both,nsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,both,knn,1,1
GOV/AZ DUVAL INDEPENDENCE,both,rf,1,1
GOV/AZ DUVAL INDEPENDENCE,both,nb,1,1
GOV/CO BEAUPREZ ITS SIMPLE,text,lsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,text,nsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,text,knn,1,1
GOV/CO BEAUPREZ ITS SIMPLE,text,rf,1,1
GOV/CO BEAUPREZ ITS SIMPLE,text,nb,1,1
GOV/CO BEAUPREZ ITS SIMPLE,music,lsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,music,nsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,music,knn,1,1
GOV/CO BEAUPREZ ITS SIMPLE,music,rf,1,1
GOV/CO BEAUPREZ ITS SIMPLE,music,nb,1,1
GOV/CO BEAUPREZ ITS SIMPLE,both,lsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,both,nsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,both,knn,1,1
GOV/CO BEAUPREZ ITS SIMPLE,both,rf,1,1
GOV/CO BEAUPREZ ITS SIMPLE,both,nb,1,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,text,lsvm,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,text,nsvm,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,text,knn,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,text,rf,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,text,nb,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,music,lsvm,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,music,nsvm,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,music,knn,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,music,rf,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,music,nb,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,both,lsvm,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,both,nsvm,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,both,knn,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,both,rf,1,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,both,nb,1,0
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,text,lsvm,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,text,nsvm,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,text,knn,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,text,rf,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,text,nb,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,music,lsvm,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,music,nsvm,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,music,knn,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,music,rf,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,music,nb,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,both,lsvm,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,both,nsvm,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,both,knn,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,both,rf,0,1
GOV/CO BEAUPREZ UNDER JOHN HICKENLOOPER,both,nb,0,1
GOV/CT FOLEY ARE YOU HAPPY,text,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY,text,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY,text,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY,text,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY,text,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY,music,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY,music,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY,music,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY,music,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY,music,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY,both,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY,both,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY,both,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY,both,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY,both,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,text,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,text,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,text,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,text,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,text,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,music,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,music,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,music,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,music,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,music,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,both,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,both,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,both,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,both,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY 60,both,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,text,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,text,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,text,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,text,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,text,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,music,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,music,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,music,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,music,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,music,nb,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,both,lsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,both,nsvm,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,both,knn,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,both,rf,1,1
GOV/CT FOLEY ARE YOU HAPPY REV,both,nb,1,1
GOV/CT FOLEY CONNECTICUT LOST,text,lsvm,0,0
GOV/CT FOLEY CONNECTICUT LOST,text,nsvm,0,0
GOV/CT FOLEY CONNECTICUT LOST,text,knn,0,0
GOV/CT FOLEY CONNECTICUT LOST,text,rf,0,0
GOV/CT FOLEY CONNECTICUT LOST,text,nb,0,0
GOV/CT FOLEY CONNECTICUT LOST,music,lsvm,0,0
GOV/CT FOLEY CONNECTICUT LOST,music,nsvm,0,0
GOV/CT FOLEY CONNECTICUT LOST,music,knn,0,0
GOV/CT FOLEY CONNECTICUT LOST,music,rf,0,0
GOV/CT FOLEY CONNECTICUT LOST,music,nb,0,0
GOV/CT FOLEY CONNECTICUT LOST,both,lsvm,0,0
GOV/CT FOLEY CONNECTICUT LOST,both,nsvm,0,0
GOV/CT FOLEY CONNECTICUT LOST,both,knn,0,1
GOV/CT FOLEY CONNECTICUT LOST,both,rf,0,0
GOV/CT FOLEY CONNECTICUT LOST,both,nb,0,0
