creative,train,uid,music1,music2,music3,music4
GOV/GA DEAL NUMBER ONE,1,eo5jpm_x-pk,0,1,0,0
GOV/GA DEAL ON THE MOVE,0,LEvUuFpqCHU,0,1,0,0
GOV/GA DEAL SANDRA DEAL,1,mafaglOeiIE,0,1,0,0
GOV/GA DEAL SCORE POLITICAL POINTS,1,eHpRUiEQWmU,1,1,1,1
GOV/GA DEAL SENATOR JASON CARTER 15,1,8kNNbRLlR8c,1,1,0,1
GOV/GA DEAL SUCCESS,0,Bo5dNLOXZ4c,0,1,0,0
GOV/GA DEAL THREE YEARS IN A ROW 15,1,USwyevHXkmQ,1,0,0,1
GOV/HI AIONA CATHERINE,1,KW5McP2Mei8,0,1,0,0
GOV/HI AIONA IT'S TIME,1,-1NxX8HYP6Q,0,1,0,0
GOV/HI AIONA MIDDLE CLASS,0,w__Xj25qWbU,1,1,0,0
GOV/HI AIONA SEE IT EVERYWHERE,1,hwjCCbaYh00,0,1,0,0
GOV/HI AIONA VISION,1,fGTkaZZ6zWY,0,1,0,0
GOV/HI IGE AS A FATHER,1,1tkpNg_iqaU,0,1,1,0
GOV/HI IGE NOVEMBER 4TH,1,qwkLOWE3I-A,0,1,0,0
GOV/HI IGE RIGHT REASONS,1,4nzTHv2nsAk,0,1,1,0
GOV/HI IGE WORKING CLASS FAMILY,1,1ueJx5Pwcc4,0,1,1,0
GOV/IA BRANSTAD ABOUT YOUR FUTURE,1,WzpDpISAnZA,0,1,0,0
GOV/IA BRANSTAD ASKED,1,iRtl3ziO8BU,0,1,0,0
GOV/IA BRANSTAD CHRIS,1,LHHoMANdRHc,0,1,0,0
GOV/IA BRANSTAD COME A LONG WAY,1,vlYza3UiCh4,0,1,0,0
GOV/IA BRANSTAD EDUCATION IN IOWA,1,vZ1WdEToJEU,0,1,0,0
GOV/IA BRANSTAD FOUR YEARS AGO,1,AE43YL6DdLg,0,1,0,1
GOV/IA BRANSTAD GETS RESULTS,1,PMSiW2oJojs,0,1,0,0
GOV/IA BRANSTAD GOOD THINGS,1,xfZbG0VXVMg,0,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,0,wTeRReEqfWk,0,1,0,0
GOV/IA BRANSTAD KIM REYNOLDS,1,hfKz7qx9TN8,0,1,0,0
GOV/IA BRANSTAD OUR COMEBACK,1,jYmW_TUsKc8,0,1,0,0
GOV/IA BRANSTAD OUR COMEBACK 60,1,sDuA2QHgBVI,0,1,0,0
GOV/IA HATCH AS STATE SENATOR,1,PzjyMJux8ac,0,1,0,0
GOV/IA HATCH MUDSLINGING,1,o5tKdoc06OU,1,1,1,0
GOV/IA HATCH THERE ARE TWO,0,ssFYV7z3F9Y,0,0,0,1
GOV/ID BALUKOFF BUSINESS AS USUAL,1,P3C9CAeRiGc,0,1,0,1
GOV/ID BALUKOFF NO STRANGER,1,HElqk-HGepM,0,1,1,0
GOV/ID BALUKOFF ROB WAITE,1,WmE1BduALJU,0,0,1,0
GOV/ID BALUKOFF SONIA GALAVIZ,1,Qzrqc_Piyfk,0,1,0,0
GOV/ID BALUKOFF TAKING SHOTS,1,IwvyDEw8x2w,0,1,0,0
GOV/ID BALUKOFF VIOLATED,1,VdewR_ys6J0,1,0,1,1
GOV/ID OTTER FACTS DON'T LIE,0,-Z-5Ulb01Ek,1,1,0,1
GOV/ID OTTER FALSELY SMEARING,1,VtlFrYjT1r8,1,0,0,1
GOV/ID OTTER MITT ROMNEY,1,oO2CaDVzmgQ,0,1,0,0
GOV/ID OTTER OBAMACARE,1,ypkT5fqYASg,0,1,0,0
GOV/ID OTTER PROUD CONSERVATIVE,0,YlUl8GYevN0,0,1,0,0
GOV/ID OTTER TRACY KASPER,1,qcr8Vfn0vMc,0,1,0,0
GOV/ID OTTER WE'VE MADE IDAHO,1,h_D1ZQbt820,0,1,0,0
GOV/IL QUINN BROOKPORT,1,XaO1smHO7MM,1,0,1,0
GOV/IL QUINN DAVID THOMPSON,0,HGHK81A9I64,0,0,1,1
GOV/IL QUINN EYE ON THE BALL,1,-uuvWTVqf7U,0,1,0,0
GOV/IL QUINN FEW THINGS,1,xSUKpY4ASC8,1,0,1,1
GOV/IL QUINN FORD EXPLORER,1,s7_LmnsC4_I,0,1,0,0
GOV/IL QUINN GARY MANIER,1,I8PrSOKUsU8,0,1,1,0
GOV/IL QUINN HOMEBANC MORTGAGE,1,ZtW1S2nEAE4,0,0,1,1
GOV/IL QUINN LAWN,1,GcL1dZE_Eno,0,1,0,0
GOV/IL QUINN LOVE,1,oxZ0ISbIyXU,0,1,0,0
GOV/IL QUINN LUXURY HOMES,0,7KVWr5y5rD8,0,1,1,1
GOV/IL QUINN MICHELLE OBAMA,1,hGDNptr1kbU,0,1,0,0
GOV/IL QUINN MILLIONS,1,mIcT6nHBPTA,1,0,0,1
GOV/IL QUINN MILLIONS REV,1,xTl02xa72Ko,1,0,1,1
GOV/IL QUINN RAUNER MINIMUM WAGE,1,RodqOp6ynP8,1,0,1,1
GOV/IL QUINN RAUNER MINIMUM WAGE 2,1,0VzE3FFqJTg,0,0,1,1
GOV/IL QUINN REALLY KNOW,1,qT4lbu2VMaY,1,0,1,1
GOV/IL QUINN SOMEHOW ABLE,1,qtu4tBoNRBM,0,0,1,1
GOV/IL QUINN TWO CANDIDATES,1,P3hOQtm3SlU,0,1,0,0
GOV/IL QUINN VERY FIRST TIME,0,j_--xUwn9ww,0,1,0,0
GOV/IL QUINN YOU KNOW ME,0,Zznmnu6xTo0,0,1,0,0
GOV/IL RAUNER WE KNEW,0,nq6kpeYpwHI,0,1,0,0
GOV/IN GREGG HOW THEY WOULD GOVERN,1,ehX19r4Xw-M,1,0,0,1
GOV/IN GREGG INDIANA EXPERIENCE,0,-wY9qGcDZJk,0,1,1,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,1,9uMT9YrEZiI,0,1,0,0
GOV/IN GREGG PENCE WELCOMES TEA PARTY,1,wLzy-HiCGak,1,0,0,1
GOV/IN PENCE A LIFELONG HOOSIER,1,xomOUS4mO9U,0,1,1,0
GOV/IN PENCE A LIFELONG HOOSIER 60,1,ERL-X_bDMSc,0,1,1,0
GOV/IN PENCE BEST PLACE IN AMERICA,1,GAzalM8bh9U,0,1,0,0
GOV/IN PENCE CHALLENGING TIMES,1,uOEpXtgPD7g,0,1,0,0
GOV/IN PENCE CHALLENGING TIMES REV,1,gTpr2K0VFPI,0,1,0,0
GOV/IN PENCE COMMON SENSE,1,U7FuNqJfaKY,0,1,0,0
GOV/IN PENCE EDUCATION GOVERNOR,0,O3t6vKkWA5w,0,1,0,0
GOV/IN PENCE HARD WORKING HERITAGE 60,1,fHgpSmRcVc0,0,1,0,0
GOV/IN PENCE HOMETOWN,1,hadh_-XjdFM,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0,0bxn2-8VULA,0,1,0,0
GOV/IN PENCE I LOVE HARD WORK,1,Vqa-HuOaICQ,0,1,0,0
GOV/IN PENCE MILITARY MEN AND WOMEN,1,XI7Sktoe_3Y,0,1,0,0
GOV/IN PENCE ROADMAP FOR INDIANA,1,3-GQlYpxNug,0,1,0,0
GOV/KS BROWNBACK CARR BROTHERS,1,wm0FZnUT9hY,1,0,0,1
GOV/KS BROWNBACK FACTS ARE CLEAR,1,YMhcEzcKH3w,0,1,1,0
GOV/KS BROWNBACK SINCE 2011,1,NY9TQeb33b8,1,1,0,1
GOV/KS BROWNBACK STARTED,1,0JpDz1BRaO8,0,1,0,0
GOV/KS BROWNBACK WELFARE TO WORK,1,2ni3V4uIEEM,0,1,0,0
GOV/KS DAVIS DAMAGING,1,7XYoCN9HXe4,1,1,0,1
GOV/KS DAVIS DAVID GROVES,1,MkFJ2heFSmI,0,1,0,0
GOV/KS DAVIS HAPPY TALK,1,Fw-1-JkOVj4,1,0,1,1
GOV/KS DAVIS SCHOOL HOUSES,1,zahCcRxWkmw,0,1,0,0
GOV/KY BESHEAR 26 YEAR CAREER,1,Y8x5H1OMvnE,1,0,1,1
GOV/KY BESHEAR 40 YEARS,1,YQoaeniYzuY,0,1,1,0
GOV/KY BESHEAR ACCOUNTABILITY,0,gwWDmoPi_S0,0,1,0,0
GOV/KY BESHEAR BUSINESS INCENTIVES,1,xYoqGIMLa5s,0,1,0,0
GOV/KY BESHEAR CUT,1,FR_HAryvo2I,0,1,0,0
GOV/KY BESHEAR ECONOMIC INCENTIVES,0,SFS8ktdghEw,1,1,0,1
GOV/KY BESHEAR GREAT TEAM,1,GTnQb3oDoZ0,0,1,1,0
GOV/KY BESHEAR LEADING BY EXAMPLE,0,kqDYjfC3YTU,0,0,1,1
GOV/KY BESHEAR PROGRESS,0,Lt94JTrBYas,0,1,0,0
GOV/KY BESHEAR STEADY HAND,0,2F7JfCJxu3E,0,1,0,0
GOV/KY BESHEAR VALUE OF LEADERSHIP,0,a92E3D9RDIA,1,1,0,1
GOV/KY WILLIAMS BETTER PLAN,1,gKS9uChP1eQ,1,1,0,1
GOV/KY WILLIAMS ROBYN,1,IzPGF4H4oU4,0,1,0,0
GOV/KY WILLIAMS TEAM,0,95BuLhAuQt0,1,1,0,1
GOV/MA BAKER THE LAST YEAR,1,4cnIfRCyALk,0,1,0,0
GOV/MA BAKER&POLITO DEMOCRATS AND INDEPENDENTS,1,NMWFxgep1TM,0,1,0,0
GOV/MA BAKER&POLITO THINK ABOUT THIS,1,eTltR5Z9_ws,0,1,0,0
GOV/MA BAKER&POLITO&MARP ONCE LED THE NATION,1,77R5i8SnV9M,0,1,0,0
GOV/MD HOGAN HOW MANY OF YOU REV,1,NfOyV0BlKns,0,1,0,0
GOV/MD HOGAN&RUTHERFORD AMIE SHANK,1,C765Lxzw6kM,1,0,1,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,1,O6XAIGAIWsM,0,1,1,0
GOV/MD HOGAN&RUTHERFORD KANDIE LEACH,1,0m-X72-bZhc,0,0,1,0
GOV/MD HOGAN&RUTHERFORD MY FRIEND,1,qmAzPKdUdpU,0,1,1,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,1,5Jg2wOFYQ_0,0,1,0,0
GOV/MD HOGAN&RUTHERFORD PROUD,0,BUNP7h8QsyQ,1,0,0,1
GOV/ME LEPAGE CYNDI ROBBINS,1,BHlpBFaGS2s,0,1,1,1
GOV/ME LEPAGE KEEP,0,85tS6kA8MoI,0,1,0,0
GOV/ME LEPAGE SEEN THIS AD,1,GelNhsaH848,1,1,0,1
GOV/ME MICHAUD ALL WE'VE BEEN THROUGH,1,Fln4QWOqCwQ,1,1,1,1
GOV/ME MICHAUD DON MCCORMACK,0,WDQj3L7XUkg,0,1,0,0
GOV/ME MICHAUD FOUR YEARS,0,xR7VBq7At7Q,0,1,0,1
GOV/ME MICHAUD KIND OF PERSON,1,CftP-7rEJ2k,0,1,0,0
GOV/ME MICHAUD MORE ATTACKS,1,kKUmxtSB9q0,0,1,0,1
GOV/ME MICHAUD RAYE WENTWORTH,1,tqotmEBJftE,0,1,0,0
GOV/ME MICHAUD RICH NOLON,1,_IJEtTc66Qc,0,1,1,0
GOV/ME MICHAUD THE TRUTH,1,Kuh1wR578Fc,1,0,0,1
GOV/ME MICHAUD VERY PROUD,1,8zTeQ28Yi7g,0,1,0,0
GOV/ME MICHAUD VOTED FOR CUTLER,1,gJ03S2wquos,0,1,0,0
GOV/MI SCHAUER NO WONDER,1,KhPGn_WcxwE,0,1,0,0
GOV/MI SCHAUER POTENTIAL,1,Un6Sg0Te0Cw,0,1,0,0
GOV/MI SCHAUER RUNNING,1,tfKkcLUDvcI,0,1,1,0
GOV/MI SNYDER 50 YEARS,1,h-cdqloTwB0,0,1,0,0
GOV/MI SNYDER ACCOUNTANT 60,1,x_y0LojzywU,0,1,1,0
GOV/MI SNYDER FIRST,1,Rn0exOYalfk,0,1,0,0
GOV/MI SNYDER LINDA THALER,0,gBwLtJqM2p4,0,1,0,0
GOV/MI SNYDER NERD 60,1,Ty-0zaKcWj0,0,1,0,0
GOV/MI SNYDER NEXT FEW DAYS,1,2n2_U-9KxPY,0,1,0,0
GOV/MI SNYDER PAM WILLIAMS,1,7R6i7ocSdWk,0,1,0,0
GOV/MI SNYDER REVERSED,1,QJv39yGH9zs,0,1,0,1
GOV/MN DAYTON FEW YEARS AGO,1,zQfgzzWS08o,0,1,0,1
GOV/MN DAYTON ONE MINUTE,1,TVvFQX3BoL4,0,1,0,1
GOV/MN DAYTON SEE IT HERE,0,PcKH8pDQ9Ns,0,1,0,1
GOV/MN DAYTON TARA GREEN,1,naGmP1g1f8o,0,1,1,0
GOV/MN DAYTON THE PORT FAMILY,1,wEcb31MuDtc,0,1,0,0
GOV/MN JOHNSON AUDIT,1,2mlHjMZUaC0,1,1,0,1
GOV/MN JOHNSON MY WIFE,1,8RtX1vIrbSQ,0,0,1,1
GOV/MN JOHNSON UNAWARE,1,Gvn5qJOyUxk,1,1,0,1
GOV/MO NIXON DOING THINGS DIFFERENTLY,1,fNYLlK0ZG_8,0,1,0,0
GOV/MO NIXON EVERY JOB COUNTS,1,Bxc-j6Gq3pk,0,1,0,0
GOV/MO NIXON LAST MONTH,1,H-NT1A0Kvkk,0,1,0,0
GOV/MO NIXON NEW JOBS,1,GPW5J9t4ZKU,1,1,0,1
GOV/MO NIXON TOGETHER,1,yXvTia31KJw,0,1,0,0
GOV/MO NIXON WHO CAN WE TRUST,1,N8BQ08SGGpo,0,1,0,0
GOV/MS BRYANT JOBS,1,-1EIROfLt-4,0,1,0,0
GOV/MS BRYANT OPTIMISTIC,0,v_3ZTnwZ40s,0,1,0,0
GOV/MT HILL BEAT POLIO,1,KFNeBbqBnYM,0,1,0,0
GOV/MT HILL CUT OUT,1,Oj0JbpL5vmU,0,1,0,0
GOV/MT HILL POLITICAL NOISE,0,GIMlvGFz1Mg,1,1,0,1
GOV/NC DALTON IN A HOLE,1,ebc9B9_gENY,0,1,0,0
GOV/NC DALTON RUTHERFORDTON,1,J9oyoRcCe88,0,1,0,0
GOV/NC DALTON SIMPLE NAME,1,XVay9RP_sqY,0,1,0,0
GOV/NC MCCRORY REWARD GREAT TEACHERS,1,SjptvQS0qow,0,1,1,0
GOV/ND DALRYMPLE A UNIQUE TIME,0,vwQRywEQE54,1,1,0,1
GOV/ND DALRYMPLE HELICOPTER PILOT,1,FkJ6A7ze2bY,0,1,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,0,Sazk4skZ8kE,0,1,0,0
GOV/ND DALRYMPLE HOUSING,1,BjO2quOH90I,0,1,0,0
GOV/ND DALRYMPLE JOBS ARE HERE,1,g_NPoELIBpI,0,1,0,0
GOV/ND DALRYMPLE WHAT DOES IT TAKE,1,K7QJy97KP6I,0,1,0,0
GOV/ND TAYLOR GIVE UP,1,troM4-wMAGo,0,1,0,0
GOV/ND TAYLOR THINGS ARE CHANGING,1,GLEIcTFCT2Q,0,1,0,0
GOV/NE HASSEBROOK AMY BURNS,1,fYNxBM4y_rc,0,0,1,0
GOV/NE HASSEBROOK GREW UP,0,i74cakBriCg,0,1,0,0
GOV/NE HASSEBROOK MELVIN LUETCHENS,1,AgXR8bfnMQM,0,0,1,0
GOV/NE HASSEBROOK ONCE AGAIN,1,4Q3Ty5gdLkc,1,0,0,1
GOV/NE HASSEBROOK THE CHOICE,1,cbbUm4vuo0o,0,1,0,0
GOV/NE HASSEBROOK UNLIKE PETE RICKETTS,1,BBOi0r35O24,0,1,0,0
GOV/NE HASSEBROOK VIOLENT CRIMINALS,0,88L17_tJR1c,1,0,0,1
GOV/NJ CHRISTIE AN EXAMPLE,0,DaPbsxFzYgY,0,1,0,1
GOV/NJ CHRISTIE I STAND UP,1,57Ikl-jeVo8,0,1,1,0
GOV/NJ CHRISTIE SHAQ,1,cskCKa3S8y0,0,1,1,0
GOV/NJ CHRISTIE STAR LEGDER,0,YmiDiLoqryU,0,1,1,1
GOV/NJ CHRISTIE THE FIRST PERSON I SAW,1,ROyLylsJtaU,0,0,1,1
GOV/NJ CHRISTIE THEY SAID,1,Clhv-ya9JJo,0,1,1,1
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,1,g-TIjF_r7aQ,1,0,1,1
GOV/NM MARTINEZ BETRAYED,1,X81JkdVsnpE,1,0,0,1
GOV/NM MARTINEZ CHILD SUPPORT,1,HRo3BMTAiD0,0,0,0,1
GOV/NM MARTINEZ CON MAN,0,ja5SsdEOCmw,1,0,0,1
GOV/NM MARTINEZ FALSE,0,b8rogjXPJGQ,1,1,0,1
GOV/NM MARTINEZ GARY KING'S AD,1,g096j532840,1,0,0,1
GOV/NM MARTINEZ INSIDER DEALS,1,V_P0SPL6OXI,1,0,0,1
GOV/NM MARTINEZ LOCAL NEWS,1,frW8Q0BHLMI,1,0,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,0,9eLzD_DTJJ0,1,1,0,1
GOV/NM MARTINEZ TAX INCREASE,0,NNwJAO-81B0,1,1,0,1
GOV/NM MARTINEZ WE EXPECT,1,C37_Of5BR4I,1,0,0,1
GOV/NV SANDOVAL OUR CHILDREN,1,JEB92OPov-w,0,1,0,0
GOV/NY ASTORINO EVER WONDER,1,di0H1kScCL4,1,1,1,1
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,0,v2QuEGeZYk0,0,1,1,0
GOV/NY CUOMO BROKEN GOVERNMENT 60,1,KuViF6mXoIE,0,1,0,0
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,1,Nxse--YZqnI,0,1,0,0
GOV/NY CUOMO HURRICANE IRENE,1,F9QjWw4t87I,0,1,0,0
GOV/NY CUOMO RESULTS ARE IN,1,juFyMC_BEC4,0,1,0,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,0,O5Y78KSFpF8,0,1,0,0
GOV/NY CUOMO&HOCHUL JUST NOT RIGHT,1,PrERhBT4RZQ,0,0,1,0
GOV/NY CUOMO&HOCHUL MY GRANDFATHER,1,y-CRuYH1k-Q,0,1,0,0
GOV/NY CUOMO&HOCHUL ON THE MOVE,1,FqEpZbxkZXI,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,0,7h1udeoO3rg,0,1,0,0
GOV/NY CUOMO&HOCHUL THURMAN THOMAS,1,zKo06-SPGgQ,0,1,0,0
GOV/OH FITZGERALD KASICH'S WAY,0,_tdzreLMQt0,1,1,0,1
GOV/OH FITZGERALD PROMISE OF OHIO,0,AYIyvG1lUPA,0,1,0,0
GOV/OH KASICH ALICE EPITROPOULOS,1,7mGmuxdOFXs,0,1,1,0
GOV/OH KASICH BOTH OF MY PARENTS,1,Q-9ZvNP1yDQ,1,1,0,0
GOV/OH KASICH BOTH OF MY PARENTS 60,1,bGWJgwEZnO0,0,1,0,0
GOV/OH KASICH GREW UP,1,BBjenf2sDLA,0,1,0,0
GOV/OH KASICH GREW UP 60,1,TL2fVlKowJI,0,1,1,1
GOV/OH KASICH LIEUTENANT STEVE,1,eE1plRU-3Ic,0,1,0,0
GOV/OH KASICH MY FATHER,0,bmPqU8omZbs,0,1,1,0
GOV/OH KASICH MY FATHER 60,1,cCIkFqgbLsU,0,1,1,0
GOV/OH KASICH&TAYLOR 2008,1,CLCqZgIrSK0,0,1,0,0
GOV/OH KASICH&TAYLOR BECAME A VICTIM,1,41p0NyD5Y10,0,0,0,0
GOV/OH KASICH&TAYLOR COME A LONG WAY,1,FWAZ1XQrJLs,0,1,1,0
GOV/OH KASICH&TAYLOR COMING BACK,0,ybIGPv7L0nY,0,1,0,0
GOV/OH KASICH&TAYLOR GREW UP REV,1,TN41In1iAwY,1,0,1,0
GOV/OH KASICH&TAYLOR MAGIC,1,XqpWNzWMfa8,0,1,0,0
GOV/OK DORMAN MY HOMETOWN,1,97tOYW8f3pQ,0,1,0,0
GOV/OK DORMAN MY TEAM MEMBER,1,Z6qCMJlyoyM,1,0,0,1
GOV/OK DORMAN OKLAHOMA FIRST,1,fNTq2HD-6xQ,1,1,0,0
GOV/OK DORMAN OUT OF TOUCH,1,7F2mInAQcMA,1,1,0,1
GOV/OR KITZHABER BOTH FEET,1,z5W25NH6EZQ,0,1,0,0
GOV/OR KITZHABER GROWING UP,1,qnhgUyK9erc,0,1,0,0
GOV/OR KITZHABER MORE WE KNOW,0,b_5MxIAThDA,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,0,FDv_JEQCvZ8,1,1,0,1
GOV/OR KITZHABER NO PLACE,1,a3p5Nwtd9sc,1,0,1,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,0,w512vk6gLXg,1,1,0,1
GOV/OR RICHARDSON SCANDAL,1,IQAJXJ8z3Pk,1,0,1,1
GOV/PA WOLF AT THE BOTTOM,1,UglyynDEiRg,1,1,1,0
GOV/PA WOLF NEWSPAPERS,1,kZE4PPIIG_A,1,1,0,1
GOV/PA WOLF WE BUILD,1,Eh4cdyCWZL8,0,1,0,0
GOV/PA WOLF YORK,1,BuLRAL2Weq4,0,1,0,0
GOV/RI FUNG 38 STUDIOS,1,KcPC9qzHtKQ,1,0,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,0,x3V_Vyy6HfQ,1,1,0,1
GOV/RI FUNG CRANSTON,1,HbKq9V0gXfM,1,1,0,1
GOV/RI FUNG ONE YEAR AGO,1,JcaAuoUGyjU,0,1,0,0
GOV/RI FUNG PARENTS,1,c5gLbYOkvxU,0,1,0,0
GOV/RI RAIMONDO FUNG'S AD,1,zftumUvEDbs,0,1,1,0
GOV/RI RAIMONDO MY PARENTS,1,-cYSOGjd_uk,0,1,1,0
GOV/SC HALEY BOEING,1,cU88iuGMQWM,0,1,0,1
GOV/SC HALEY BULLYING,1,uxEy-YcI39Y,0,1,0,0
GOV/SC HALEY FIND A PERSON A JOB,1,aY2PN00ejsc,0,1,1,0
GOV/SC HALEY FOR YEARS,1,CKO4NyD-_EU,1,1,0,0
GOV/SC HALEY HUSBAND,0,sZrMoKn06EM,0,1,1,1
GOV/SC HALEY NEGATIVE ADS,1,W3Xy5yeTWF4,1,0,0,1
GOV/SC HALEY NEW STANDARD,1,NOaftEeyZD8,0,1,0,0
GOV/SC HALEY NO CHILD,1,4wp9bokc9xk,0,1,0,0
GOV/SC HALEY PAYCHECKS,1,pjmPM-xz0j4,0,1,0,0
GOV/SC HALEY WHEN I CAME INTO OFFICE,1,fgVwXmIUZYs,0,1,0,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,1,x4d2bcOwKO4,0,1,0,0
GOV/SD DAUGAARD A LOT HAS CHANGED,1,jjXiWbGyqew,0,1,0,0
GOV/SD DAUGAARD DELON MORK,1,QDmIpwTO6oE,0,1,0,0
