creative,uid,train,music1,music2,music3,music4
GOV/IN PENCE HARD WORKING HERITAGE 60,fHgpSmRcVc0,1,0,1,0,0
GOV/IN PENCE HOMETOWN,hadh_-XjdFM,1,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0bxn2-8VULA,0,0,1,0,0
GOV/IN PENCE I LOVE HARD WORK,Vqa-HuOaICQ,1,0,1,0,0
GOV/IN PENCE MILITARY MEN AND WOMEN,XI7Sktoe_3Y,1,0,1,0,0
GOV/IN PENCE ROADMAP FOR INDIANA,3-GQlYpxNug,1,0,1,0,0
GOV/KS BROWNBACK CARR BROTHERS,wm0FZnUT9hY,1,1,0,0,1
GOV/KS BROWNBACK FACTS ARE CLEAR,YMhcEzcKH3w,1,0,1,1,0
GOV/KS BROWNBACK SINCE 2011,NY9TQeb33b8,1,1,1,0,1
GOV/KS BROWNBACK STARTED,0JpDz1BRaO8,1,0,1,0,0
GOV/KS BROWNBACK WELFARE TO WORK,2ni3V4uIEEM,1,0,1,0,0
GOV/KS DAVIS DAMAGING,7XYoCN9HXe4,1,1,1,0,1
GOV/KS DAVIS DAVID GROVES,MkFJ2heFSmI,1,0,1,0,0
GOV/KS DAVIS HAPPY TALK,Fw-1-JkOVj4,1,1,0,1,1
GOV/KS DAVIS SCHOOL HOUSES,zahCcRxWkmw,1,0,1,0,0
GOV/KY BESHEAR 26 YEAR CAREER,Y8x5H1OMvnE,1,1,0,1,1
GOV/KY BESHEAR 40 YEARS,YQoaeniYzuY,1,0,1,1,0
GOV/KY BESHEAR ACCOUNTABILITY,gwWDmoPi_S0,0,0,1,0,0
GOV/KY BESHEAR BUSINESS INCENTIVES,xYoqGIMLa5s,1,0,1,0,1
GOV/KY BESHEAR CUT,FR_HAryvo2I,1,0,1,0,0
GOV/KY BESHEAR ECONOMIC INCENTIVES,SFS8ktdghEw,0,1,1,0,1
GOV/KY BESHEAR GREAT TEAM,GTnQb3oDoZ0,1,0,1,1,0
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,0,0,0,1,1
GOV/KY BESHEAR PROGRESS,Lt94JTrBYas,0,0,1,0,0
GOV/KY BESHEAR STEADY HAND,2F7JfCJxu3E,0,0,1,0,0
GOV/KY BESHEAR VALUE OF LEADERSHIP,a92E3D9RDIA,0,1,1,0,1
GOV/KY WILLIAMS BETTER PLAN,gKS9uChP1eQ,1,1,1,0,1
GOV/KY WILLIAMS ROBYN,IzPGF4H4oU4,1,0,1,0,0
GOV/KY WILLIAMS TEAM,95BuLhAuQt0,0,1,1,0,1
GOV/MA BAKER THE LAST YEAR,4cnIfRCyALk,1,0,1,0,0
GOV/MA BAKER&POLITO DEMOCRATS AND INDEPENDENTS,NMWFxgep1TM,1,0,1,0,0
GOV/MA BAKER&POLITO THINK ABOUT THIS,eTltR5Z9_ws,1,0,1,0,0
GOV/MA BAKER&POLITO&MARP ONCE LED THE NATION,77R5i8SnV9M,1,0,1,0,0
GOV/MD HOGAN HOW MANY OF YOU REV,NfOyV0BlKns,1,0,1,0,0
GOV/MD HOGAN&RUTHERFORD AMIE SHANK,C765Lxzw6kM,1,1,0,1,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,O6XAIGAIWsM,1,0,1,1,0
GOV/MD HOGAN&RUTHERFORD KANDIE LEACH,0m-X72-bZhc,1,0,0,1,0
GOV/MD HOGAN&RUTHERFORD MY FRIEND,qmAzPKdUdpU,1,0,1,1,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,1,0,1,0,0
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,0,1,0,0,1
GOV/ME LEPAGE CYNDI ROBBINS,BHlpBFaGS2s,1,0,1,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,0,0,1,0,0
GOV/ME LEPAGE SEEN THIS AD,GelNhsaH848,1,1,1,0,1
GOV/ME MICHAUD ALL WE'VE BEEN THROUGH,Fln4QWOqCwQ,1,1,1,1,1
GOV/ME MICHAUD DON MCCORMACK,WDQj3L7XUkg,0,0,1,0,0
GOV/ME MICHAUD FOUR YEARS,xR7VBq7At7Q,0,0,1,0,1
GOV/ME MICHAUD KIND OF PERSON,CftP-7rEJ2k,1,0,1,0,0
GOV/ME MICHAUD MORE ATTACKS,kKUmxtSB9q0,1,1,1,0,1
GOV/ME MICHAUD RAYE WENTWORTH,tqotmEBJftE,1,0,1,0,0
GOV/ME MICHAUD RICH NOLON,_IJEtTc66Qc,1,0,1,1,0
GOV/ME MICHAUD THE TRUTH,Kuh1wR578Fc,1,1,0,0,1
GOV/ME MICHAUD VERY PROUD,8zTeQ28Yi7g,1,0,1,0,0
GOV/ME MICHAUD VOTED FOR CUTLER,gJ03S2wquos,1,0,1,0,0
GOV/MI SCHAUER NO WONDER,KhPGn_WcxwE,1,0,1,0,0
GOV/MI SCHAUER POTENTIAL,Un6Sg0Te0Cw,1,0,1,0,0
GOV/MI SCHAUER RUNNING,tfKkcLUDvcI,1,0,1,1,0
GOV/MI SNYDER 50 YEARS,h-cdqloTwB0,1,0,1,0,0
GOV/MI SNYDER ACCOUNTANT 60,x_y0LojzywU,1,0,1,1,0
GOV/MI SNYDER FIRST,Rn0exOYalfk,1,0,1,0,0
GOV/MI SNYDER LINDA THALER,gBwLtJqM2p4,0,0,1,0,0
GOV/MI SNYDER NERD 60,Ty-0zaKcWj0,1,0,1,0,0
GOV/MI SNYDER NEXT FEW DAYS,2n2_U-9KxPY,1,0,1,0,0
GOV/MI SNYDER PAM WILLIAMS,7R6i7ocSdWk,1,0,1,0,1
GOV/MI SNYDER REVERSED,QJv39yGH9zs,1,0,1,0,1
GOV/MN DAYTON FEW YEARS AGO,zQfgzzWS08o,1,0,1,0,1
GOV/MN DAYTON ONE MINUTE,TVvFQX3BoL4,1,0,1,0,1
GOV/MN DAYTON SEE IT HERE,PcKH8pDQ9Ns,0,0,1,0,1
GOV/MN DAYTON TARA GREEN,naGmP1g1f8o,1,0,1,1,1
GOV/MN DAYTON THE PORT FAMILY,wEcb31MuDtc,1,0,1,0,0
GOV/MN JOHNSON AUDIT,2mlHjMZUaC0,1,1,0,0,1
GOV/MN JOHNSON MY WIFE,8RtX1vIrbSQ,1,0,0,1,1
GOV/MN JOHNSON UNAWARE,Gvn5qJOyUxk,1,1,1,0,1
GOV/MO NIXON DOING THINGS DIFFERENTLY,fNYLlK0ZG_8,1,0,1,0,0
GOV/MO NIXON EVERY JOB COUNTS,Bxc-j6Gq3pk,1,0,1,0,1
GOV/MO NIXON LAST MONTH,H-NT1A0Kvkk,1,0,1,0,1
GOV/MO NIXON NEW JOBS,GPW5J9t4ZKU,1,1,1,0,1
GOV/MO NIXON TOGETHER,yXvTia31KJw,1,0,1,0,0
GOV/MO NIXON WHO CAN WE TRUST,N8BQ08SGGpo,1,0,1,0,0
GOV/MS BRYANT JOBS,-1EIROfLt-4,1,0,1,0,0
GOV/MS BRYANT OPTIMISTIC,v_3ZTnwZ40s,0,0,1,0,0
GOV/MT HILL BEAT POLIO,KFNeBbqBnYM,1,0,1,0,0
GOV/MT HILL CUT OUT,Oj0JbpL5vmU,1,0,1,0,0
GOV/MT HILL POLITICAL NOISE,GIMlvGFz1Mg,0,1,1,0,1
GOV/NC DALTON IN A HOLE,ebc9B9_gENY,1,0,1,0,0
GOV/NC DALTON RUTHERFORDTON,J9oyoRcCe88,1,0,1,0,0
GOV/NC DALTON SIMPLE NAME,XVay9RP_sqY,1,0,1,0,0
GOV/NC MCCRORY REWARD GREAT TEACHERS,SjptvQS0qow,1,0,1,0,0
GOV/ND DALRYMPLE A UNIQUE TIME,vwQRywEQE54,0,1,1,0,1
GOV/ND DALRYMPLE HELICOPTER PILOT,FkJ6A7ze2bY,1,0,1,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,0,0,1,0,0
GOV/ND DALRYMPLE HOUSING,BjO2quOH90I,1,0,1,0,0
GOV/ND DALRYMPLE JOBS ARE HERE,g_NPoELIBpI,1,0,1,0,0
GOV/ND DALRYMPLE WHAT DOES IT TAKE,K7QJy97KP6I,1,0,1,0,0
GOV/ND TAYLOR GIVE UP,troM4-wMAGo,1,0,1,0,0
GOV/ND TAYLOR THINGS ARE CHANGING,GLEIcTFCT2Q,1,0,1,0,0
GOV/NE HASSEBROOK AMY BURNS,fYNxBM4y_rc,1,0,0,1,0
GOV/NE HASSEBROOK GREW UP,i74cakBriCg,0,0,1,0,0
GOV/NE HASSEBROOK MELVIN LUETCHENS,AgXR8bfnMQM,1,0,0,1,0
GOV/NE HASSEBROOK ONCE AGAIN,4Q3Ty5gdLkc,1,1,0,0,1
GOV/NE HASSEBROOK THE CHOICE,cbbUm4vuo0o,1,0,1,0,0
GOV/NE HASSEBROOK UNLIKE PETE RICKETTS,BBOi0r35O24,1,0,1,0,0
GOV/NE HASSEBROOK VIOLENT CRIMINALS,88L17_tJR1c,0,1,0,0,1
GOV/NJ CHRISTIE AN EXAMPLE,DaPbsxFzYgY,0,1,1,1,1
GOV/NJ CHRISTIE I STAND UP,57Ikl-jeVo8,1,0,1,1,0
GOV/NJ CHRISTIE SHAQ,cskCKa3S8y0,1,0,1,1,0
GOV/NJ CHRISTIE STAR LEGDER,YmiDiLoqryU,0,0,0,1,1
GOV/NJ CHRISTIE THE FIRST PERSON I SAW,ROyLylsJtaU,1,0,0,1,1
GOV/NJ CHRISTIE THEY SAID,Clhv-ya9JJo,1,0,1,1,1
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,g-TIjF_r7aQ,1,1,0,1,1
GOV/NM MARTINEZ BETRAYED,X81JkdVsnpE,1,1,0,0,1
GOV/NM MARTINEZ CHILD SUPPORT,HRo3BMTAiD0,1,1,0,0,1
GOV/NM MARTINEZ CON MAN,ja5SsdEOCmw,0,1,0,0,1
GOV/NM MARTINEZ FALSE,b8rogjXPJGQ,0,1,1,0,0
GOV/NM MARTINEZ GARY KING'S AD,g096j532840,1,1,0,0,1
GOV/NM MARTINEZ INSIDER DEALS,V_P0SPL6OXI,1,1,0,0,1
GOV/NM MARTINEZ LOCAL NEWS,frW8Q0BHLMI,1,1,0,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,9eLzD_DTJJ0,0,1,1,0,1
GOV/NM MARTINEZ TAX INCREASE,NNwJAO-81B0,0,1,1,0,1
GOV/NM MARTINEZ WE EXPECT,C37_Of5BR4I,1,1,0,0,1
GOV/NV SANDOVAL OUR CHILDREN,JEB92OPov-w,1,0,1,0,0
GOV/NY ASTORINO EVER WONDER,di0H1kScCL4,1,1,1,1,1
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,v2QuEGeZYk0,0,0,1,0,0
GOV/NY CUOMO BROKEN GOVERNMENT 60,KuViF6mXoIE,1,0,1,0,0
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,Nxse--YZqnI,1,0,1,0,0
GOV/NY CUOMO HURRICANE IRENE,F9QjWw4t87I,1,0,1,0,0
GOV/NY CUOMO RESULTS ARE IN,juFyMC_BEC4,1,0,1,0,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,0,0,1,0,0
GOV/NY CUOMO&HOCHUL JUST NOT RIGHT,PrERhBT4RZQ,1,0,0,1,0
GOV/NY CUOMO&HOCHUL MY GRANDFATHER,y-CRuYH1k-Q,1,0,1,0,0
GOV/NY CUOMO&HOCHUL ON THE MOVE,FqEpZbxkZXI,1,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,7h1udeoO3rg,0,0,1,0,0
GOV/NY CUOMO&HOCHUL THURMAN THOMAS,zKo06-SPGgQ,1,0,1,0,0
GOV/OH FITZGERALD KASICH'S WAY,_tdzreLMQt0,0,1,1,0,1
GOV/OH FITZGERALD PROMISE OF OHIO,AYIyvG1lUPA,0,0,1,0,0
GOV/OH KASICH ALICE EPITROPOULOS,7mGmuxdOFXs,1,0,1,1,0
GOV/OH KASICH BOTH OF MY PARENTS,Q-9ZvNP1yDQ,1,1,1,0,0
GOV/OH KASICH BOTH OF MY PARENTS 60,bGWJgwEZnO0,1,0,1,0,0
GOV/OH KASICH GREW UP,BBjenf2sDLA,1,0,1,0,0
GOV/OH KASICH GREW UP 60,TL2fVlKowJI,1,0,1,1,1
GOV/OH KASICH LIEUTENANT STEVE,eE1plRU-3Ic,1,0,1,0,0
GOV/OH KASICH MY FATHER,bmPqU8omZbs,0,0,1,1,0
GOV/OH KASICH MY FATHER 60,cCIkFqgbLsU,1,0,1,1,0
GOV/OH KASICH&TAYLOR 2008,CLCqZgIrSK0,1,0,1,0,0
GOV/OH KASICH&TAYLOR BECAME A VICTIM,41p0NyD5Y10,1,0,0,0,0
GOV/OH KASICH&TAYLOR COME A LONG WAY,FWAZ1XQrJLs,1,0,1,1,0
GOV/OH KASICH&TAYLOR COMING BACK,ybIGPv7L0nY,0,0,1,0,0
GOV/OH KASICH&TAYLOR GREW UP REV,TN41In1iAwY,1,1,0,1,0
GOV/OH KASICH&TAYLOR MAGIC,XqpWNzWMfa8,1,0,1,0,0
GOV/OK DORMAN MY HOMETOWN,97tOYW8f3pQ,1,0,1,0,0
GOV/OK DORMAN MY TEAM MEMBER,Z6qCMJlyoyM,1,1,0,0,1
GOV/OK DORMAN OKLAHOMA FIRST,fNTq2HD-6xQ,1,1,1,0,0
GOV/OK DORMAN OUT OF TOUCH,7F2mInAQcMA,1,1,1,0,1
GOV/OR KITZHABER BOTH FEET,z5W25NH6EZQ,1,0,1,0,0
GOV/OR KITZHABER GROWING UP,qnhgUyK9erc,1,0,1,0,0
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,0,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,FDv_JEQCvZ8,0,1,1,0,1
GOV/OR KITZHABER NO PLACE,a3p5Nwtd9sc,1,1,0,1,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,w512vk6gLXg,0,1,1,0,1
GOV/OR RICHARDSON SCANDAL,IQAJXJ8z3Pk,1,1,0,1,1
GOV/PA WOLF AT THE BOTTOM,UglyynDEiRg,1,1,1,1,0
GOV/PA WOLF NEWSPAPERS,kZE4PPIIG_A,1,1,1,0,1
GOV/PA WOLF WE BUILD,Eh4cdyCWZL8,1,0,1,0,0
GOV/PA WOLF YORK,BuLRAL2Weq4,1,0,1,0,0
GOV/RI FUNG 38 STUDIOS,KcPC9qzHtKQ,1,1,0,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,x3V_Vyy6HfQ,0,1,1,0,1
GOV/RI FUNG CRANSTON,HbKq9V0gXfM,1,1,1,0,0
GOV/RI FUNG ONE YEAR AGO,JcaAuoUGyjU,1,0,1,0,0
GOV/RI FUNG PARENTS,c5gLbYOkvxU,1,0,1,0,0
GOV/RI RAIMONDO FUNG'S AD,zftumUvEDbs,1,0,1,1,0
GOV/RI RAIMONDO MY PARENTS,-cYSOGjd_uk,1,0,1,1,0
GOV/SC HALEY BOEING,cU88iuGMQWM,1,0,1,0,1
GOV/SC HALEY BULLYING,uxEy-YcI39Y,1,0,1,0,0
GOV/SC HALEY FIND A PERSON A JOB,aY2PN00ejsc,1,0,1,1,0
GOV/SC HALEY FOR YEARS,CKO4NyD-_EU,1,1,1,0,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,0,0,1,1,1
GOV/SC HALEY NEGATIVE ADS,W3Xy5yeTWF4,1,1,0,0,1
GOV/SC HALEY NEW STANDARD,NOaftEeyZD8,1,0,1,0,0
GOV/SC HALEY NO CHILD,4wp9bokc9xk,1,0,1,0,0
GOV/SC HALEY PAYCHECKS,pjmPM-xz0j4,1,0,1,0,0
GOV/SC HALEY WHEN I CAME INTO OFFICE,fgVwXmIUZYs,1,0,1,0,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,x4d2bcOwKO4,1,0,1,0,0
GOV/SD DAUGAARD A LOT HAS CHANGED,jjXiWbGyqew,1,0,1,0,0
GOV/SD DAUGAARD DELON MORK,QDmIpwTO6oE,1,0,1,0,0
