creative,uid,feature,model,train,tone
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,music,knn,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,music,rf,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,music,nb,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,both,lsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,both,nsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,both,knn,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,both,rf,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,both,nb,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,text,lsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,text,nsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,text,knn,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,text,rf,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,text,nb,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,music,lsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,music,nsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,music,knn,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,music,rf,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,music,nb,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,both,lsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,both,nsvm,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,both,knn,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,both,rf,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,both,nb,1,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,text,lsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,text,nsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,text,knn,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,text,rf,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,text,nb,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,music,lsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,music,nsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,music,knn,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,music,rf,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,music,nb,0,0
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,both,lsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,both,nsvm,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,both,knn,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,both,rf,0,1
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,both,nb,0,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,text,lsvm,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,text,nsvm,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,text,knn,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,text,rf,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,text,nb,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,music,lsvm,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,music,nsvm,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,music,knn,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,music,rf,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,music,nb,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,both,lsvm,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,both,nsvm,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,both,knn,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,both,rf,1,1
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,both,nb,1,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,text,lsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,text,nsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,text,knn,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,text,rf,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,text,nb,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,music,lsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,music,nsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,music,knn,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,music,rf,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,music,nb,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,both,lsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,both,nsvm,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,both,knn,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,both,rf,0,0
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,both,nb,0,0
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,text,lsvm,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,text,nsvm,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,text,knn,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,text,rf,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,text,nb,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,music,lsvm,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,music,nsvm,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,music,knn,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,music,rf,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,music,nb,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,both,lsvm,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,both,nsvm,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,both,knn,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,both,rf,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,both,nb,0,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,text,lsvm,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,text,nsvm,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,text,knn,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,text,rf,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,text,nb,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,music,lsvm,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,music,nsvm,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,music,knn,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,music,rf,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,music,nb,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,both,lsvm,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,both,nsvm,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,both,knn,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,both,rf,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,both,nb,1,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,text,lsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,text,nsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,text,knn,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,text,rf,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,text,nb,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,music,lsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,music,nsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,music,knn,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,music,rf,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,music,nb,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,both,lsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,both,nsvm,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,both,knn,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,both,rf,0,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,both,nb,0,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,text,lsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,text,nsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,text,knn,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,text,rf,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,text,nb,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,music,lsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,music,nsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,music,knn,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,music,rf,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,music,nb,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,both,lsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,both,nsvm,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,both,knn,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,both,rf,1,1
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,both,nb,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,text,lsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,text,nsvm,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,text,knn,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,text,rf,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,text,nb,1,0
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,music,lsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,music,nsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,music,knn,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,music,rf,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,music,nb,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,both,lsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,both,nsvm,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,both,knn,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,both,rf,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,both,nb,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,text,lsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,text,nsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,text,knn,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,text,rf,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,text,nb,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,music,lsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,music,nsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,music,knn,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,music,rf,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,music,nb,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,both,lsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,both,nsvm,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,both,knn,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,both,rf,1,1
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,both,nb,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,text,lsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,text,nsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,text,knn,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,text,rf,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,text,nb,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,music,lsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,music,nsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,music,knn,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,music,rf,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,music,nb,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,both,lsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,both,nsvm,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,both,knn,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,both,rf,1,1
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,both,nb,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,text,lsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,text,nsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,text,knn,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,text,rf,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,text,nb,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,music,lsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,music,nsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,music,knn,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,music,rf,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,music,nb,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,both,lsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,both,nsvm,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,both,knn,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,both,rf,1,1
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,both,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,text,lsvm,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,text,nsvm,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,text,knn,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,text,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,text,nb,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,music,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,music,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,music,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,music,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,music,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,both,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,both,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,both,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,both,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,both,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,text,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,text,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,text,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,text,rf,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,text,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,music,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,music,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,music,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,music,rf,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,music,nb,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,both,lsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,both,nsvm,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,both,knn,1,1
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,both,rf,1,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,both,nb,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,text,lsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,text,nsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,text,knn,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,text,rf,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,text,nb,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,music,lsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,music,nsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,music,knn,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,music,rf,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,music,nb,1,0
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,both,lsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,both,nsvm,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,both,knn,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,both,rf,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,both,nb,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,text,lsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,text,nsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,text,knn,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,text,rf,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,text,nb,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,music,lsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,music,nsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,music,knn,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,music,rf,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,music,nb,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,both,lsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,both,nsvm,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,both,knn,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,both,rf,1,1
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,both,nb,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,text,lsvm,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,text,nsvm,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,text,knn,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,text,rf,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,text,nb,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,music,lsvm,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,music,nsvm,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,music,knn,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,music,rf,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,music,nb,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,both,lsvm,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,both,nsvm,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,both,knn,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,both,rf,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,both,nb,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,text,lsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,text,nsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,text,knn,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,text,rf,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,text,nb,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,music,lsvm,1,0
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,music,nsvm,1,0
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,music,knn,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,music,rf,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,music,nb,1,0
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,both,lsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,both,nsvm,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,both,knn,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,both,rf,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,both,nb,1,1
GOV/CO BEAUPREZ ITS SIMPLE,BuzCoRpcfb8,text,lsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,BuzCoRpcfb8,text,nsvm,1,1
GOV/CO BEAUPREZ ITS SIMPLE,BuzCoRpcfb8,text,knn,1,1
GOV/CO BEAUPREZ ITS SIMPLE,BuzCoRpcfb8,text,rf,1,1
GOV/CO BEAUPREZ ITS SIMPLE,BuzCoRpcfb8,text,nb,1,1
